png_path,webp_path,width,height,png_bytes,webp_bytes,saved_bytes,saving_percent,pixel_sha256,batch
assets/textures/textures_webapp/pokemon/celesteela/main.png,assets/textures/textures_webapp/pokemon/celesteela/main.webp,475,475,194711,127906,66805,34.3098,8c65904316615de34448fb620b84af8ec1c725dc1f218f353bb389ac7592c9c1,batch-3
assets/textures/textures_webapp/pokemon/charmander/main-shiny.png,assets/textures/textures_webapp/pokemon/charmander/main-shiny.webp,475,475,156386,87914,68472,43.7840,611868b4473b2b87409234a6dea4e1fb75048c75aa7ebed8c4b58c066e86d487,batch-3
assets/textures/textures_webapp/pokemon/charmeleon/main-shiny.png,assets/textures/textures_webapp/pokemon/charmeleon/main-shiny.webp,475,475,154414,88284,66130,42.8264,d7687aeac90480c35ccc8eb62f51d200e85097551cf1b14502935e3b132d0624,batch-3
assets/textures/textures_webapp/pokemon/chatot/main-shiny.png,assets/textures/textures_webapp/pokemon/chatot/main-shiny.webp,475,475,149170,80418,68752,46.0897,1f6774de9ce1935fe439f9288e61e5a4a1ceb81cc8081ed636e9ea7efe54a6a0,batch-3
assets/textures/textures_webapp/pokemon/chesnaught/main-shiny.png,assets/textures/textures_webapp/pokemon/chesnaught/main-shiny.webp,475,475,161898,88342,73556,45.4335,f7209edb9a555e4badc2cd374a990c852d1315250f8cb229a9d15c29c33611db,batch-3
assets/textures/textures_webapp/pokemon/chingling/main-shiny.png,assets/textures/textures_webapp/pokemon/chingling/main-shiny.webp,475,475,134348,70716,63632,47.3636,c9eb2b8a3524664670daff067f1702818799e12a096791de74926de2c6aed9ee,batch-3
assets/textures/textures_webapp/pokemon/cinccino/main-shiny.png,assets/textures/textures_webapp/pokemon/cinccino/main-shiny.webp,475,475,183947,93852,90095,48.9788,4de3c452ba62780ff950c32f2647d1c96cb82f7c87ec7a95253ea2690f55b629,batch-2
assets/textures/textures_webapp/pokemon/cinccino/main.png,assets/textures/textures_webapp/pokemon/cinccino/main.webp,475,475,174731,108734,65997,37.7706,cbf45578d673cdb582ea59725d35354464eee7830d6dd4630d2cbc22b1475965,batch-3
assets/textures/textures_webapp/pokemon/clamperl/main-shiny.png,assets/textures/textures_webapp/pokemon/clamperl/main-shiny.webp,475,475,202434,126166,76268,37.6755,3b2805836f663ea0ae62e9fee149d4d8b7a67d82086ba69b8853e4edebec612c,batch-2
assets/textures/textures_webapp/pokemon/clamperl/main.png,assets/textures/textures_webapp/pokemon/clamperl/main.webp,475,475,185547,112466,73081,39.3868,2ca9c35ec2ac253d0e33eaee62230c3f18f1b8372b52fa72d110da3ebe952921,batch-3
assets/textures/textures_webapp/pokemon/claydol/main-shiny.png,assets/textures/textures_webapp/pokemon/claydol/main-shiny.webp,475,475,199958,104134,95824,47.9221,78fab98ef4da3d94342b34959e3c80dc491e49ee86e15d58b6aeefa94f2a0fb4,batch-2
assets/textures/textures_webapp/pokemon/clefable/main-shiny.png,assets/textures/textures_webapp/pokemon/clefable/main-shiny.webp,475,475,169393,87616,81777,48.2765,22e3d2cc9569be95ac31b4e64611497ded53d3deed1b7c5224dae9d93b9032fe,batch-2
assets/textures/textures_webapp/pokemon/clefairy/main-shiny.png,assets/textures/textures_webapp/pokemon/clefairy/main-shiny.webp,475,475,185848,89846,96002,51.6562,9db63351e791fc44a77199947e432ad387666a59c0434c44006ce1f797fd6605,batch-2
assets/textures/textures_webapp/pokemon/clefairy/main.png,assets/textures/textures_webapp/pokemon/clefairy/main.webp,475,475,175738,110784,64954,36.9607,b0df79236e2462192f52ef7f97fb6d98b0720369f492bd74e5654a0eadd144a9,batch-3
assets/textures/textures_webapp/pokemon/cloyster/main-shiny.png,assets/textures/textures_webapp/pokemon/cloyster/main-shiny.webp,475,475,222731,129274,93457,41.9596,133263f4b588b1ef2c0caf96d4e33c78ab0a3170f020a22fc7b3a458ae962b01,batch-2
assets/textures/textures_webapp/pokemon/cloyster/main.png,assets/textures/textures_webapp/pokemon/cloyster/main.webp,475,475,174248,102392,71856,41.2378,35c8a9587e0c9a1f760768f7bbb839d9436fe1292fa1aff991b148b8fde83dbf,batch-3
assets/textures/textures_webapp/pokemon/coalossal/main-shiny.png,assets/textures/textures_webapp/pokemon/coalossal/main-shiny.webp,475,475,159276,89058,70218,44.0857,de6620e70d77ad5cdf1bfcb85deebccd9584dff2831f629d899277ff2eb33ca7,batch-3
assets/textures/textures_webapp/pokemon/conkeldurr/main-shiny.png,assets/textures/textures_webapp/pokemon/conkeldurr/main-shiny.webp,475,475,199012,115654,83358,41.8859,35cc56ea0868f840010b638a244344d473aa415fe582ac9edc120409efc0f6e3,batch-2
assets/textures/textures_webapp/pokemon/copperajah/main-shiny.png,assets/textures/textures_webapp/pokemon/copperajah/main-shiny.webp,475,475,153517,80084,73433,47.8338,fe165567aecb690050d1d1b254d09dbb77f7ba1ed00dbe212ef0df1753bae0af,batch-3
assets/textures/textures_webapp/pokemon/corphish/main-shiny.png,assets/textures/textures_webapp/pokemon/corphish/main-shiny.webp,475,475,198034,127142,70892,35.7979,4fb32c6343f826467301de22aa9ea062fe041a72f73cf162dda0fb1130638a02,batch-3
assets/textures/textures_webapp/pokemon/corphish/main.png,assets/textures/textures_webapp/pokemon/corphish/main.webp,475,475,195320,125980,69340,35.5007,ac2645c5c836438a5d10b14587fa24a7916cfd2e10466b46d0f69185c2727dcf,batch-3
assets/textures/textures_webapp/pokemon/cosmoem/main-shiny.png,assets/textures/textures_webapp/pokemon/cosmoem/main-shiny.webp,475,475,157966,87286,70680,44.7438,aa23f5bec3b67a06acccbb54a56f69e0485b89b5028b9e9380120d2dfdca2d08,batch-3
assets/textures/textures_webapp/pokemon/cradily/main-shiny.png,assets/textures/textures_webapp/pokemon/cradily/main-shiny.webp,475,475,171707,98322,73385,42.7385,61ac283b6c80d8881e02d025ba1d7ddc78b7d1320ff474486a2c1cdf616e4912,batch-3
assets/textures/textures_webapp/pokemon/crawdaunt/main-shiny.png,assets/textures/textures_webapp/pokemon/crawdaunt/main-shiny.webp,475,475,185704,115726,69978,37.6825,da37f27392a72984504e7c6f86cd9103753a7fffed5329d7fd4b7b6007f54d5d,batch-3
assets/textures/textures_webapp/pokemon/crawdaunt/main.png,assets/textures/textures_webapp/pokemon/crawdaunt/main.webp,475,475,174891,108858,66033,37.7567,f86149215aafadff5bb35fd1dfc217a29a28529f34d3d21cd24fe8d44fcd479b,batch-3
assets/textures/textures_webapp/pokemon/cresselia/main-shiny.png,assets/textures/textures_webapp/pokemon/cresselia/main-shiny.webp,475,475,150624,86338,64286,42.6798,05479313999ca78f704fdbc6afef20ec3f0c5e8f26fe5e67671054b47bd0250a,batch-3
assets/textures/textures_webapp/pokemon/croagunk/main-shiny.png,assets/textures/textures_webapp/pokemon/croagunk/main-shiny.webp,475,475,184013,98182,85831,46.6440,719b6bb3813779be606425112989353e3820d6316b6dd2c07348f7b957c53f98,batch-2
assets/textures/textures_webapp/pokemon/crocalor/main-shiny.png,assets/textures/textures_webapp/pokemon/crocalor/main-shiny.webp,475,475,180172,114710,65462,36.3331,be37e0c8f9988bac53e3f5f8fad2a02f47541aee22ea2fdca58f8d2eabde0b5b,batch-3
assets/textures/textures_webapp/pokemon/crustle/main-shiny.png,assets/textures/textures_webapp/pokemon/crustle/main-shiny.webp,475,475,182054,98358,83696,45.9732,5883ba684d81f6f08dfb6a92e4a73b5d0e80dc5f803d29736b4395c7170d740a,batch-2
assets/textures/textures_webapp/pokemon/cryogonal/main-shiny.png,assets/textures/textures_webapp/pokemon/cryogonal/main-shiny.webp,475,475,263779,154988,108791,41.2432,69b47c9a2bd5b8c655973cc4125e09b7276985365377d3f3d2ed669359f4a0a5,batch-2
assets/textures/textures_webapp/pokemon/cryogonal/main.png,assets/textures/textures_webapp/pokemon/cryogonal/main.webp,475,475,210245,130478,79767,37.9400,3d4661e7ea4dc0e15e099bd2c7df74a1886257247f662116292b466afa744552,batch-2
assets/textures/textures_webapp/pokemon/cubchoo/main-shiny.png,assets/textures/textures_webapp/pokemon/cubchoo/main-shiny.webp,475,475,138896,72296,66600,47.9495,bbdf00e937578dae8380ec69ad943484ac2bf6857c60c4675350df05b921d47e,batch-3
assets/textures/textures_webapp/pokemon/dachsbun/main.png,assets/textures/textures_webapp/pokemon/dachsbun/main.webp,475,475,191910,127758,64152,33.4282,f2b4e0a7845d7b7e081defa493c01f6c57cfd49f3ba847e41dfc37afa244255b,batch-3
assets/textures/textures_webapp/pokemon/darmanitan-galar-standard/main-shiny.png,assets/textures/textures_webapp/pokemon/darmanitan-galar-standard/main-shiny.webp,475,475,174507,109804,64703,37.0776,523be14d854a397cce75b6667b1fd06c736a541d5b125825789d0129bbc7e21b,batch-3
assets/textures/textures_webapp/pokemon/darmanitan-zen/main-shiny.png,assets/textures/textures_webapp/pokemon/darmanitan-zen/main-shiny.webp,475,475,268318,158228,110090,41.0297,cce8dea8dd8be823e1d6430c703f6556244f1c362b481d85ca27f38af9bc6d7c,batch-2
assets/textures/textures_webapp/pokemon/darmanitan-zen/main.png,assets/textures/textures_webapp/pokemon/darmanitan-zen/main.webp,475,475,296216,161452,134764,45.4952,c9182c42b29b360092b2815eb8f96e3d1bec09913895a7a5fcfc5ac6af7db28d,batch-2
